iter	Passed	Remaining
0	140	140451
1	142	71117
2	144	47975
3	146	36435
4	148	29563
5	150	24900
6	152	21596
7	181	22544
8	183	20256
9	186	18435
10	188	16915
11	190	15652
12	191	14564
13	193	13652
14	196	12890
15	197	12171
16	199	11548
17	201	10989
18	203	10495
19	205	10083
20	207	9683
21	209	9320
22	211	8999
23	215	8765
24	217	8481
25	218	8202
26	220	7946
27	221	7700
28	223	7471
29	224	7255
30	225	7045
31	226	6849
32	228	6685
33	229	6509
34	230	6341
35	230	6181
36	231	6028
37	232	5883
38	233	5745
39	233	5614
40	234	5491
41	235	5372
42	236	5260
43	237	5153
44	237	5048
45	238	4947
46	239	4850
47	239	4757
48	240	4667
49	241	4581
50	241	4497
51	242	4417
52	243	4343
53	243	4268
54	244	4196
55	244	4127
56	245	4060
57	245	3995
58	246	3932
59	247	3871
60	247	3813
61	248	3756
62	248	3702
63	249	3648
64	250	3596
65	250	3547
66	252	3512
67	252	3461
68	253	3415
69	253	3371
70	254	3327
71	255	3295
72	256	3255
73	256	3215
74	257	3176
75	258	3138
76	258	3101
77	259	3064
78	259	3029
79	260	2995
80	261	2962
81	261	2930
82	262	2898
83	262	2866
84	263	2833
85	263	2803
86	264	2772
87	264	2743
88	265	2714
89	265	2689
90	266	2663
91	267	2637
92	267	2611
93	268	2586
94	268	2561
95	269	2537
96	269	2513
97	270	2490
98	271	2467
99	271	2445
100	272	2424
101	272	2400
102	273	2380
103	273	2360
104	274	2340
105	275	2320
106	275	2301
107	276	2282
108	276	2263
109	277	2244
110	278	2226
111	278	2209
112	279	2192
113	279	2174
114	280	2157
115	280	2139
116	281	2123
117	281	2107
118	282	2090
119	282	2074
120	283	2059
121	284	2044
122	284	2027
123	284	2013
124	285	1998
125	286	1984
126	286	1971
127	287	1956
128	287	1942
129	288	1929
130	288	1915
131	289	1902
132	289	1889
133	290	1876
134	290	1864
135	291	1851
136	292	1839
137	292	1827
138	293	1815
139	293	1804
140	294	1793
141	294	1781
142	295	1770
143	296	1759
144	296	1748
145	297	1738
146	297	1727
147	298	1717
148	298	1707
149	299	1696
150	300	1686
151	300	1676
152	301	1667
153	301	1657
154	302	1647
155	302	1638
156	303	1629
157	304	1620
158	304	1610
159	305	1601
160	305	1592
161	306	1584
162	306	1575
163	307	1568
164	308	1560
165	309	1552
166	309	1544
167	310	1537
168	311	1529
169	311	1522
170	312	1514
171	313	1506
172	313	1499
173	314	1491
174	314	1483
175	315	1476
176	316	1469
177	316	1462
178	317	1455
179	317	1447
180	318	1439
181	318	1432
182	319	1426
183	320	1419
184	320	1412
185	321	1405
186	321	1399
187	322	1393
188	323	1386
189	323	1379
190	324	1373
191	324	1367
192	325	1360
193	325	1354
194	326	1347
195	327	1341
196	327	1335
197	328	1329
198	328	1323
199	329	1318
200	330	1312
201	330	1306
202	331	1300
203	331	1294
204	332	1289
205	332	1283
206	333	1277
207	334	1272
208	334	1266
209	335	1261
210	335	1256
211	336	1250
212	337	1245
213	337	1240
214	338	1234
215	338	1229
216	339	1224
217	339	1219
218	340	1214
219	341	1209
220	341	1204
221	342	1199
222	342	1194
223	343	1189
224	343	1184
225	344	1179
226	345	1175
227	345	1170
228	346	1165
229	346	1161
230	347	1156
231	347	1151
232	348	1147
233	349	1143
234	349	1138
235	350	1134
236	350	1129
237	351	1125
238	352	1121
239	352	1116
240	353	1112
241	353	1108
242	354	1104
243	355	1100
244	355	1095
245	356	1091
246	356	1087
247	357	1083
248	357	1079
249	358	1075
250	358	1071
251	359	1067
252	360	1063
253	360	1059
254	361	1055
255	361	1051
256	362	1047
257	362	1043
258	363	1040
259	364	1036
260	364	1032
261	365	1029
262	365	1025
263	366	1021
264	367	1018
265	367	1014
266	368	1010
267	368	1007
268	369	1003
269	369	999
270	370	996
271	370	992
272	371	989
273	372	985
274	372	982
275	373	979
