iter	Passed	Remaining
0	1	1353
1	2	1076
2	2	949
3	3	882
4	4	837
5	4	808
6	5	785
7	6	768
8	6	757
9	7	745
10	8	737
11	8	731
12	9	727
13	10	723
14	10	716
15	11	710
16	12	706
17	12	702
18	13	698
19	14	704
20	15	700
21	15	699
22	16	702
23	17	702
24	18	702
25	18	700
26	19	699
27	20	697
28	20	695
29	21	694
30	22	695
31	22	692
32	23	691
33	24	689
34	24	686
35	25	683
36	26	681
37	26	681
38	27	678
39	28	677
40	28	676
41	29	674
42	30	673
43	31	678
44	32	683
45	33	691
46	33	689
47	34	687
48	35	685
49	35	682
50	36	680
51	37	677
52	37	674
53	38	673
54	39	671
55	39	670
56	40	668
57	41	666
58	41	665
59	42	664
60	43	662
61	43	661
62	44	659
63	45	658
64	45	656
65	46	656
66	47	660
67	48	659
68	48	656
69	49	653
70	49	650
71	50	648
72	50	645
73	51	643
74	51	640
75	52	638
76	53	635
77	53	633
78	54	631
79	54	629
80	55	626
81	55	626
82	56	621
83	56	619
84	57	617
85	57	616
86	58	614
87	59	612
88	59	610
89	60	608
90	60	607
91	61	607
92	62	609
93	63	608
94	63	606
95	64	604
96	64	602
97	65	600
98	65	599
99	66	597
100	66	595
101	67	594
102	68	592
103	68	590
104	69	589
105	69	587
106	70	587
107	71	587
108	71	586
109	72	585
110	72	584
111	73	582
112	74	581
113	74	580
114	75	578
115	75	577
116	76	575
117	77	577
118	77	576
119	78	575
120	79	574
121	79	572
122	80	571
123	80	569
124	81	568
125	81	567
126	82	565
127	82	563
128	83	562
129	83	561
130	84	560
131	85	559
132	85	557
133	86	556
134	86	555
135	87	554
136	87	553
137	88	553
138	89	552
139	89	551
140	90	550
141	90	548
142	91	548
143	92	550
144	93	549
145	93	549
146	94	548
147	94	546
148	95	545
149	96	544
150	96	543
151	97	542
152	97	540
153	98	539
154	98	538
155	100	541
156	100	541
157	101	542
158	102	541
159	102	540
160	103	538
161	103	536
162	104	535
163	104	534
164	105	533
165	105	532
166	106	531
167	107	532
168	108	532
169	109	532
170	109	531
171	110	530
172	110	529
173	111	528
174	111	526
175	112	525
176	112	524
177	113	524
178	114	523
179	114	523
180	115	522
181	116	521
182	116	521
183	117	521
184	118	520
185	118	519
186	119	519
187	119	518
188	120	517
189	121	516
190	121	515
191	122	515
192	123	514
193	123	514
194	124	513
195	124	512
196	125	511
197	126	510
198	127	511
199	127	510
200	128	509
201	128	509
202	129	508
203	129	507
204	130	505
205	131	505
206	131	503
207	132	503
208	132	502
209	133	501
210	133	500
211	134	499
212	134	498
213	135	497
214	135	496
215	136	495
216	137	496
217	138	495
218	138	495
219	139	494
220	139	493
221	140	492
222	141	491
223	141	490
224	142	489
225	142	489
226	143	488
227	143	487
228	144	486
229	145	485
230	145	484
231	146	483
232	146	482
233	147	482
234	147	481
235	148	480
236	148	479
237	149	478
238	149	477
239	150	476
240	151	475
241	151	475
242	152	475
243	153	475
244	154	474
245	154	473
246	155	473
247	155	472
248	156	471
249	156	470
250	157	469
251	157	468
252	158	467
253	158	466
254	159	466
255	160	465
256	160	464
257	161	463
258	161	463
259	162	462
260	163	461
261	163	460
262	164	459
263	164	459
264	165	458
265	165	457
266	166	456
267	166	455
268	167	455
269	168	455
270	169	455
271	170	455
272	170	454
273	171	453
274	171	452
275	172	451
276	172	450
277	173	449
278	173	449
279	174	448
280	174	447
281	175	446
282	176	445
283	176	445
284	177	444
285	177	443
286	178	442
287	178	441
288	179	441
289	179	440
290	180	439
291	180	438
292	181	438
293	182	437
294	182	436
295	183	437
296	184	436
297	185	435
298	185	435
299	186	434
300	186	433
301	187	432
302	187	432
303	188	431
304	188	430
305	189	429
306	190	429
307	190	428
308	191	427
309	191	426
310	192	426
311	192	425
312	193	424
313	194	424
314	194	423
315	195	422
316	195	421
317	196	420
318	196	420
319	197	419
320	198	420
321	199	420
322	200	420
323	201	420
324	202	419
325	202	419
326	203	418
327	203	417
328	204	417
329	205	416
330	205	415
331	206	414
332	206	413
333	207	413
334	207	412
335	208	411
336	208	410
337	209	410
338	209	409
339	210	408
340	211	407
341	211	407
342	212	406
343	212	406
344	213	405
345	214	405
346	214	404
347	215	403
348	216	403
349	216	402
350	217	401
351	217	401
352	218	400
353	218	399
354	219	398
355	220	398
356	220	397
357	221	396
358	221	395
359	222	395
360	222	394
361	223	393
362	224	393
363	224	392
364	225	391
365	225	390
366	226	390
367	227	389
368	227	389
369	228	388
370	229	388
371	229	387
372	230	387
373	230	386
374	231	385
375	231	384
376	232	384
377	232	383
378	233	382
379	234	381
380	234	381
381	235	380
382	235	379
383	236	379
384	236	378
385	237	377
386	238	377
387	238	376
388	239	375
389	239	374
390	240	374
391	240	373
392	241	373
393	242	372
394	242	371
395	243	371
396	244	370
397	244	370
398	245	369
399	245	368
400	246	368
401	246	367
402	247	366
403	248	365
404	248	365
405	249	364
406	249	363
407	250	362
408	250	362
409	251	361
410	251	360
411	252	360
412	252	359
413	253	358
414	253	358
415	254	357
416	255	356
417	255	356
418	256	355
419	257	355
420	257	354
421	258	354
422	261	356
423	261	355
424	262	355
425	262	354
426	263	353
427	264	352
428	264	352
429	265	351
430	265	350
431	266	350
432	266	349
433	267	348
434	267	347
435	268	347
436	268	346
437	269	346
438	270	345
439	270	344
440	271	343
441	271	343
442	272	342
443	273	341
444	273	341
445	274	340
446	275	340
447	275	339
448	276	339
449	276	338
450	277	337
451	277	336
452	278	336
453	279	335
454	279	335
455	280	334
456	280	333
457	281	333
458	282	332
459	282	331
460	283	331
461	283	330
462	284	329
463	285	329
464	285	328
465	286	328
466	286	327
467	287	326
468	287	326
469	288	325
470	289	324
471	290	324
472	290	323
473	291	323
474	291	322
475	292	321
476	292	321
477	293	320
478	293	319
479	294	319
480	295	318
481	295	317
482	296	317
483	296	316
484	297	315
485	297	315
486	298	314
487	299	314
488	300	313
489	300	313
490	301	312
491	302	311
492	302	311
493	303	310
494	303	309
495	304	309
496	305	308
497	305	308
498	306	307
499	307	307
500	308	306
501	308	306
502	309	305
503	309	304
504	310	304
505	311	304
506	312	303
507	312	302
508	314	303
509	314	302
510	315	302
511	316	301
512	317	300
513	317	300
514	318	299
515	319	299
516	319	298
517	320	298
518	321	297
519	322	297
520	322	296
521	323	295
522	323	295
523	324	294
524	324	293
525	325	293
526	326	292
527	326	291
528	327	291
529	327	290
530	328	290
531	328	289
532	329	288
533	330	288
534	330	287
535	331	286
536	332	286
537	332	285
538	333	284
539	333	284
540	334	283
541	334	283
542	335	282
543	336	282
544	337	281
545	337	280
546	338	280
547	339	279
548	339	278
549	340	278
550	340	277
551	341	276
552	341	276
553	342	275
554	343	275
555	343	274
556	344	273
557	344	273
558	345	272
559	345	271
560	346	271
561	346	270
562	347	269
563	347	269
564	348	268
565	349	267
566	349	267
567	350	266
568	351	266
569	352	265
570	352	264
571	353	264
572	353	263
573	354	262
574	354	262
575	355	261
576	356	261
577	356	260
578	357	259
579	358	259
580	358	258
581	359	257
582	359	257
583	360	256
584	360	255
585	361	255
586	362	254
587	362	254
588	363	253
589	363	252
590	364	252
591	364	251
592	366	251
593	366	250
594	367	250
595	368	249
596	368	249
597	369	248
598	370	247
599	370	247
600	371	246
601	372	246
602	372	245
603	373	244
604	374	244
605	374	243
606	375	243
607	375	242
608	376	241
609	377	241
610	377	240
611	378	239
612	378	239
613	379	238
614	379	237
615	381	237
616	382	237
617	382	236
618	383	236
619	384	235
620	384	234
621	385	234
622	385	233
623	386	232
624	386	232
625	387	231
626	388	230
627	388	230
628	389	229
629	389	228
630	390	228
631	390	227
632	391	227
633	392	226
634	392	225
635	393	225
636	394	224
637	394	223
638	395	223
639	395	222
640	396	222
641	397	221
642	397	220
643	398	220
644	399	219
645	399	219
646	400	218
647	401	217
648	401	217
649	402	216
650	402	215
651	403	215
652	403	214
653	404	213
654	405	213
655	405	212
656	406	212
657	406	211
658	407	210
659	407	210
660	408	209
661	408	208
662	409	208
663	410	207
664	410	206
665	411	206
666	412	205
667	412	205
668	413	204
669	414	203
670	414	203
671	415	202
672	416	202
673	419	202
674	420	202
675	421	202
676	422	201
677	423	201
678	424	200
679	425	200
680	426	199
681	427	199
682	427	198
683	428	198
684	429	197
685	429	196
686	430	196
687	431	195
688	433	195
689	434	195
690	434	194
691	435	193
692	436	193
693	436	192
694	437	191
695	437	191
696	438	190
697	439	189
698	439	189
699	440	188
700	440	188
701	441	187
702	442	186
703	442	186
704	443	185
705	443	184
706	444	184
707	444	183
708	445	182
709	446	182
710	447	181
711	448	181
712	448	180
713	449	179
714	449	179
715	450	178
716	450	177
717	451	177
718	451	176
719	452	175
720	452	175
721	453	174
722	454	174
723	454	173
724	455	172
725	456	172
726	456	171
727	457	170
728	458	170
729	459	169
730	459	169
731	460	168
732	461	167
733	462	167
734	463	167
735	464	166
736	464	165
737	465	165
738	465	164
739	466	163
740	467	163
741	467	162
742	468	162
743	469	161
744	469	160
745	470	160
746	470	159
747	471	158
748	471	158
749	472	157
750	473	156
751	473	156
752	474	155
753	474	154
754	475	154
755	475	153
756	476	152
757	477	152
758	477	151
759	478	151
760	478	150
761	479	149
762	480	149
763	480	148
764	481	147
765	481	147
766	482	146
767	482	145
768	483	145
769	484	144
770	484	143
771	485	143
772	485	142
773	486	142
774	487	141
775	487	140
776	488	140
777	488	139
778	489	138
779	489	138
780	490	137
781	490	136
782	491	136
783	492	135
784	492	134
785	493	134
786	493	133
787	494	133
788	495	132
789	495	131
790	496	131
791	496	130
792	497	129
793	497	129
794	498	128
795	498	127
796	499	127
797	500	126
798	500	125
799	501	125
800	501	124
801	502	123
802	502	123
803	503	122
804	503	122
805	504	121
806	504	120
807	505	120
808	506	119
809	506	118
810	507	118
811	508	117
812	508	117
813	509	116
814	509	115
815	510	115
816	510	114
817	511	113
818	511	113
819	512	112
820	513	111
821	513	111
822	514	110
823	514	109
824	515	109
825	515	108
826	516	108
827	516	107
828	517	106
829	518	106
830	518	105
831	519	104
832	519	104
833	520	103
834	521	103
835	521	102
836	522	101
837	523	101
838	524	100
839	524	99
840	525	99
841	525	98
842	526	98
843	526	97
844	527	96
845	527	96
846	528	95
847	529	94
848	529	94
849	530	93
850	530	92
851	531	92
852	531	91
853	532	91
854	532	90
855	533	89
856	534	89
857	534	88
858	535	87
859	535	87
860	536	86
861	536	85
862	537	85
863	538	84
864	538	84
865	539	83
866	539	82
867	540	82
868	540	81
869	541	80
870	541	80
871	542	79
872	542	78
873	543	78
874	544	77
875	544	77
